Country,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,23.580250752979918,21.319580362174108,21.363763846438584,19.827954081864647,0.0
Belgium,23.83502161393191,22.21394917716028,21.931573435163138,20.000175614634372,0.0
Canada,24.929444641029544,24.08257857120045,21.943423816707345,16.904974174706645,0.0
Chile,22.94573547164566,0.0,20.263045850602772,0.0,0.0
Czechia,23.552905204184565,21.294202110844488,20.776319624655798,19.91151276903046,10.132135924484782
Denmark,23.252261136481966,21.35253693024434,19.09355490860075,17.774411595840736,0.0
Estonia,21.28501085018622,19.383840313525013,19.48068907989804,18.264299446479665,0.0
Finland,23.11274816349097,21.470990738081262,20.318454320700543,0.0,0.0
France,25.580859847522138,23.93824946246446,22.963202090070066,20.941089078880495,0.0
Germany,25.725214816065332,24.19079229889414,23.44988755823549,22.158361508602184,0.0
Hungary,23.09465371112139,20.91143780913729,21.13088216551972,19.71991991712294,21.505607029356266
Iceland,18.082349983344876,15.614911423880317,6.856461984594587,11.282643999249553,0.0
Ireland,23.025053325838858,21.242582575149733,21.08803248109855,19.431957468542436,0.0
Italy,25.355950073581067,24.266876322995248,23.38678486141245,21.281005875907017,0.0
Japan,26.36998681607652,25.065195012022144,18.62036740905177,0.0,0.0
Latvia,21.287943307780793,20.427456115121238,19.56840388504647,19.559367739991227,0.0
Lithuania,22.03006483954905,19.73787481888798,20.27241174334755,19.575440030707462,0.0
Luxembourg,20.51770835523724,19.625707596574166,18.642252941336388,17.66803613855071,0.0
Netherlands,23.978450957980417,23.03692207057043,21.788361701836536,20.57283326172688,0.0
Norway,23.070704845237042,21.64384485974373,19.04037504696802,15.940354746937258,0.0
Poland,24.535946052364366,22.189627969194976,22.563917113590747,21.81501477763306,0.0
Portugal,23.680439998286626,22.114050897017286,21.720751667743862,20.969213644980012,0.0
Slovenia,21.633010460931697,19.404658654734458,19.764083561658083,18.835003553207905,0.0
Spain,25.10947097230176,23.932650756723262,23.17213395886796,21.547623887361812,0.0
Sweden,23.613491795492145,22.15185345438993,21.175041210147906,0.0,0.0
Switzerland,22.6206726662385,23.153889009712174,0.0,17.950100660588877,0.0
United States,26.769538990950153,26.326377641949357,0.0,23.799356427041143,0.0
